ggml_cuda_init: found 2 CUDA devices (Total VRAM: 32690 MiB):
  Device 0: NVIDIA GeForce RTX 4060 Ti, compute capability 8.9, VMM: yes, VRAM: 16379 MiB
  Device 1: NVIDIA GeForce RTX 5060 Ti, compute capability 12.0, VMM: yes, VRAM: 16310 MiB
| model                          |       size |     params | backend    | ngl |  n_cpu_moe | threads |            test |                  t/s |
| ------------------------------ | ---------: | ---------: | ---------- | --: | ---------: | ------: | --------------: | -------------------: |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |       7 |           pp512 |       897.21 ± 18.15 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |       7 |           tg128 |         18.46 ± 0.09 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |       8 |           pp512 |        900.89 ± 6.37 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |       8 |           tg128 |         18.46 ± 0.17 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |       9 |           pp512 |        851.59 ± 6.72 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |       9 |           tg128 |         18.00 ± 0.45 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      10 |           pp512 |       873.63 ± 26.05 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      10 |           tg128 |         18.51 ± 0.05 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      11 |           pp512 |       895.40 ± 20.80 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      11 |           tg128 |         18.19 ± 0.46 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      12 |           pp512 |        900.77 ± 6.86 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      12 |           tg128 |         18.44 ± 0.04 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      13 |           pp512 |       893.24 ± 12.32 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      13 |           tg128 |         17.93 ± 0.25 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      14 |           pp512 |       858.55 ± 21.90 |
| qwen35 27B Q4_K - Medium       |  15.65 GiB |    27.32 B | CUDA       |  99 |         17 |      14 |           tg128 |         18.34 ± 0.26 |

build: 873e5d8e3 (10568)
